latitude,longitude
1.278113883,103.8442021
1.334219598,103.7958982
1.355282628,103.8509221
1.363899825,103.8648843
1.434895377,103.7803066
1.382272431,103.8457679
1.412018366,103.8311774
1.280894789,103.8516771
1.303723224,103.8352403
1.293802361,103.8317579
1.300142483,103.855787
1.369248907,103.8483992
1.360009664,103.8595711
1.301257296,103.8411502
1.320211016,103.8436568
1.274827493,103.7990648
1.300108459,103.8492643
1.277711815,103.8475227
1.283483639,103.850574
1.294879051,103.8576755
1.319883839,103.9128625
1.341742201,103.7727168
1.303843278,103.8727507
1.333862464,103.7387083
1.298001836,103.8569348
1.310993163,103.7975388
1.334219598,103.7958982
1.317334643,103.8434632
1.303105268,103.836202
1.353084857,103.9435869
1.302424179,103.8346761
1.283515224,103.8468789
1.334071889,103.9040541
1.306195799,103.828509
1.390666172,103.7479207
1.311014985,103.7648614
1.307634926,103.8320381
1.305087233,103.8307226
1.308518174,103.86603
1.283057726,103.8478209
1.292965048,103.859344
1.285545617,103.8477719
1.359496638,103.8850799
1.300747562,103.8450476
1.354669019,103.8309198
1.333549435,103.8917682
1.278156144,103.8295243
1.3052722,103.8250789
1.293893588,103.8531199
1.262063365,103.8186256
1.301479001,103.8591883
1.279105679,103.8542974
1.286255026,103.849674
1.319489595,103.8419753
1.299067991,103.855328
1.357907047,103.7530238
1.291514786,103.8445863
1.309182112,103.7925475
1.287902717,103.8477729
1.358216566,103.8339307
1.280780479,103.8467337
1.370573488,103.8880717
1.346215612,103.7288352
1.338418065,103.6937689
1.374448456,103.9518225
1.286728535,103.8449013
1.329690478,103.7469606
1.279007974,103.8511035
1.29747627,103.899775
1.289077949,103.8197731
1.280655691,103.8421605
1.435077894,103.7866196
1.274419585,103.8029119
1.300917993,103.8552479
1.309924504,103.8419105
1.320429679,103.8438921
1.332010256,103.8810247
1.28423792,103.8519273
1.354295104,103.9396358
1.301191315,103.9051136
1.264394682,103.8218086
1.282980726,103.8518389
1.306537224,103.8321264
1.354315564,103.9450195
1.381586794,103.7646596
1.276525754,103.8419184
1.307634926,103.8320381
1.296959058,103.8563049
1.283942291,103.8507116
1.284339948,103.8509824
1.395501588,103.8857843
1.354295104,103.9396358
1.330600101,103.8499868
1.270295992,103.8129303
1.309921911,103.862091
1.288862919,103.846556
1.279179023,103.8417699
1.304511278,103.79146
1.282240869,103.8512866
1.362544348,103.8474932
1.304849785,103.8085659
1.319230983,103.9140052
1.30438467,103.9033386
1.301887339,103.905996
1.28423792,103.8519273
1.302424179,103.8346761
1.301978047,103.8397589
1.279015452,103.840532
1.325857121,103.9383282
1.305506117,103.8299848
1.299294067,103.7874041
1.311393494,103.8564871
1.278709486,103.8403867
1.297924002,103.8145569
1.333788827,103.8877143
1.264486351,103.8186869
1.307785752,103.8259325
1.277872965,103.8441337
1.301887339,103.905996
1.287127866,103.8470257
1.301070547,103.8491763
1.275596198,103.8423932
1.329825449,103.7994699
1.331021885,103.7962645
1.307785752,103.8259325
1.297924002,103.8145569
1.300977084,103.8604818
1.322573176,103.8142455
1.340940724,103.7762802
1.299183747,103.8477898
1.306814726,103.858169
1.293017861,103.8269408
1.307596485,103.9069337
1.280413695,103.8476382
1.282464023,103.8469344
1.335835645,103.7866163
1.30717806,103.8284687
1.27742661,103.8440509
1.307465187,103.8812708
1.282055406,103.8180782
1.353069494,103.8350935
1.286213257,103.8494319
1.278518938,103.8500715
1.335897289,103.7959415
1.30394638,103.8348269
1.283942291,103.8507116
1.278169864,103.8480961
1.317828683,103.8428894
1.278287549,103.8406485
1.310151798,103.8624342
1.278435132,103.8436835
1.288481466,103.8491446
1.305506117,103.8299848
1.339830148,103.7064609
1.280046254,103.8416687
1.310040987,103.9319883
1.303708795,103.8505372
1.300504273,103.8593845
1.278396965,103.8436737
