latitude,longitude
1.346175008,103.960857
1.389904019,103.978979
1.409913016,103.923131
1.379237005,103.866967
1.372761003,103.829073
1.320710015,103.951754
1.34065899,103.955192
1.366937017,103.881611
1.390098002,103.834277
1.381099011,103.861151
1.353350016,103.863473
1.360480011,103.866008
1.387856976,103.863388
1.38983501,103.837234
1.390064987,103.838591
1.333849008,103.946938
1.371626001,103.832785
1.323023001,103.919179
1.345032012,103.884842
1.366028984,103.877504
1.360425013,103.865669
1.369562983,103.892822
1.388631003,103.838383
1.361952005,103.966205
1.359547029,103.968547
1.378692011,103.832623
1.355558014,103.884109
1.348558987,103.862006
1.319187992,103.948586
1.385285989,103.837056
1.383079989,103.866841
1.357585001,103.867454
1.370206987,103.865358
1.315599016,103.924306
1.385602002,103.873382
1.35333802,103.880875
1.302445014,103.862996
1.350138,103.845965
1.304896993,103.908132
1.334434001,103.877337
1.348953004,103.840365
1.342621999,103.863115
1.334280003,103.765763
1.362119006,103.833535
1.333437999,103.769989
1.334739008,103.767247
1.317551006,103.748696
1.353198982,103.774033
1.294938345,103.7928295
1.33980401,103.71716
1.351771995,103.701048
1.370600005,103.764668
1.358640009,103.759016
1.355361008,103.761025
1.326788002,103.766406
1.336056618,103.731161
1.301002038,103.7906345
1.308750999,103.76476
1.371359006,103.768925
1.350204005,103.776007
1.319766997,103.757976
1.33982702,103.760905
1.360420016,103.760959
1.362712994,103.773908
1.367634014,103.76883
1.327695,103.764779
1.372285989,103.751977
1.315559997,103.75636
1.360638981,103.758606
1.305581227,103.7891622
1.338017009,103.707876
1.322503996,103.757668
1.314253978,103.75845
1.354237007,103.698636
1.38954898,103.751411
1.347543998,103.765472
1.369270011,103.773357
1.399749013,103.805724
1.40003199,103.818446
1.400870986,103.822384
1.279877003,103.804834
1.287617008,103.824027
1.298934008,103.767617
1.308994994,103.762027
1.296153299,103.763
1.299613028,103.7907213
1.372245015,103.769495
1.357409008,103.768537
1.389138992,103.748433
1.371635019,103.763645
1.307808002,103.763606
1.327945017,103.768868
1.373215009,103.771884
1.375890034,103.75724
